epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88119,4.59223,7.13028,2.11187,0,0,0,0,5.4099,11.2134,2.62714,8e-05,8e-05,0.09208
2,10.8648,3.24923,4.00548,1.6225,0.32957,0.48828,0.31705,0.14435,2.07049,1.7483,1.36229,0.000168317,0.000168317,0.0831683
3,14.9164,1.64603,1.44735,1.14796,0.39084,0.52734,0.366,0.15117,1.80508,2.08036,1.18354,0.000254852,0.000254852,0.0742549
4,19.0325,1.31758,1.05578,1.00645,0.51874,0.45312,0.42538,0.21595,1.88819,4.54596,1.33274,0.000339605,0.000339605,0.0653396
5,23.2089,1.22161,0.89178,0.95795,0.34486,0.31254,0.26397,0.13092,2.30554,2.30901,1.64987,0.000422576,0.000422576,0.0564226
6,27.3429,1.15259,0.80834,0.94962,0.42428,0.41406,0.28445,0.15127,2.04077,2.84357,1.55353,0.000503765,0.000503765,0.0475038
7,31.3725,1.19289,0.80971,0.94709,0.30116,0.33594,0.17637,0.07845,2.62501,2.0449,2.05236,0.000583172,0.000583172,0.0385832
8,35.4406,1.07767,0.75766,0.9361,0.26502,0.29862,0.1363,0.06822,2.69527,2.36913,2.11538,0.000660797,0.000660797,0.0296608
9,39.4155,1.11382,0.74894,0.92695,0.44989,0.40234,0.32933,0.20216,1.97783,1.554,1.64779,0.00073664,0.00073664,0.0207366
10,43.4805,1.01839,0.69396,0.91335,0.75,0.67188,0.75762,0.53289,1.13928,0.9419,1.10046,0.000810701,0.000810701,0.0118107
11,47.501,0.95284,0.66473,0.91056,0.833,0.79889,0.84074,0.58171,1.17549,0.82783,1.09058,0.00088298,0.00088298,0.00288298
12,51.4422,0.95878,0.64579,0.91778,0.91182,0.84825,0.87598,0.60975,1.23133,0.8699,1.03246,0.0008911,0.0008911,0.0008911
13,55.3557,0.97883,0.64629,0.90923,0.82271,0.74319,0.82649,0.53627,1.29914,1.05646,1.10009,0.0008812,0.0008812,0.0008812
14,59.3088,0.90252,0.62445,0.90898,0.9229,0.88841,0.95497,0.74453,0.90591,0.94227,0.98238,0.0008713,0.0008713,0.0008713
15,63.2451,0.98626,0.63671,0.87909,0.9585,0.91406,0.95896,0.74478,0.94252,0.72331,0.99543,0.0008614,0.0008614,0.0008614
16,67.2224,0.94205,0.5814,0.89063,0.9266,0.89453,0.94009,0.7383,0.96289,0.67868,0.99543,0.0008515,0.0008515,0.0008515
17,71.139,0.94286,0.58696,0.89194,0.87172,0.90249,0.9326,0.72168,0.88729,0.98977,0.98848,0.0008416,0.0008416,0.0008416
18,75.0915,0.87211,0.56418,0.87424,0.88499,0.93184,0.92749,0.79376,0.69048,0.76435,0.94941,0.0008317,0.0008317,0.0008317
19,79.0561,0.82095,0.54269,0.87698,0.91528,0.76562,0.8841,0.71527,0.81246,0.62175,1.00798,0.0008218,0.0008218,0.0008218
20,83.044,0.87292,0.55617,0.87525,0.94572,0.95288,0.98015,0.78682,0.8231,0.57169,0.94126,0.0008119,0.0008119,0.0008119
21,86.9928,0.83168,0.52474,0.87152,0.91797,0.95703,0.92826,0.77905,0.71446,0.71165,0.95674,0.000802,0.000802,0.000802
22,91.0698,0.75067,0.52844,0.88439,0.82922,0.91038,0.85031,0.71185,0.70713,0.79928,0.94764,0.0007921,0.0007921,0.0007921
23,95.1304,0.76461,0.52725,0.87095,0.87271,0.83594,0.88427,0.69997,0.9343,0.64372,1.02072,0.0007822,0.0007822,0.0007822
24,99.1945,0.79725,0.51064,0.867,0.95997,0.84316,0.91834,0.7216,0.94561,0.61819,0.96313,0.0007723,0.0007723,0.0007723
25,103.162,0.83135,0.53346,0.8606,0.98335,0.92257,0.97371,0.82698,0.72002,0.56303,0.96851,0.0007624,0.0007624,0.0007624
26,107.166,0.71521,0.47169,0.85205,0.97665,0.98034,0.98986,0.85921,0.68151,0.53167,0.93219,0.0007525,0.0007525,0.0007525
27,111.073,0.73058,0.48932,0.84583,0.97628,0.96484,0.98778,0.86116,0.62558,0.51093,0.92395,0.0007426,0.0007426,0.0007426
28,115.051,0.75141,0.50473,0.8639,0.97959,0.93737,0.98546,0.83619,0.71912,0.52306,0.9389,0.0007327,0.0007327,0.0007327
29,118.93,0.72786,0.47911,0.83669,0.96521,0.97542,0.98903,0.8724,0.61914,0.46643,0.9133,0.0007228,0.0007228,0.0007228
30,122.902,0.78074,0.50446,0.83687,0.98535,0.94531,0.98831,0.85045,0.65471,0.46499,0.90383,0.0007129,0.0007129,0.0007129
31,126.8,0.76155,0.47366,0.84412,0.98418,0.97201,0.99138,0.87302,0.60646,0.43957,0.9132,0.000703,0.000703,0.000703
32,130.793,0.68072,0.45808,0.84597,0.98475,0.96875,0.9891,0.89506,0.52412,0.41273,0.8879,0.0006931,0.0006931,0.0006931
33,134.711,0.7353,0.46192,0.84278,0.99156,0.97656,0.99341,0.83484,0.7262,0.426,0.90116,0.0006832,0.0006832,0.0006832
34,138.646,0.76915,0.47318,0.84376,0.9763,0.96554,0.98924,0.85107,0.65024,0.46779,0.91381,0.0006733,0.0006733,0.0006733
35,142.574,0.69501,0.47017,0.85844,0.98806,0.96947,0.99371,0.88233,0.58298,0.43166,0.90703,0.0006634,0.0006634,0.0006634
36,146.535,0.67388,0.45274,0.84006,0.98818,0.97943,0.99438,0.88305,0.56816,0.40226,0.88753,0.0006535,0.0006535,0.0006535
37,150.412,0.64709,0.44142,0.82673,0.99358,0.95312,0.98305,0.8972,0.55119,0.4371,0.90372,0.0006436,0.0006436,0.0006436
38,154.429,0.66105,0.44993,0.83423,0.99092,0.96484,0.99365,0.89778,0.56074,0.43733,0.89341,0.0006337,0.0006337,0.0006337
39,158.43,0.6553,0.44366,0.82504,0.99351,0.98828,0.99492,0.89459,0.51696,0.39762,0.88622,0.0006238,0.0006238,0.0006238
40,162.387,0.69575,0.47058,0.84381,0.9785,0.98438,0.99334,0.87808,0.60271,0.41674,0.89304,0.0006139,0.0006139,0.0006139
41,166.329,0.66247,0.45396,0.84145,0.97451,0.96875,0.99293,0.88418,0.58661,0.42492,0.90646,0.000604,0.000604,0.000604
42,170.301,0.6373,0.4245,0.82062,1,0.98335,0.99455,0.88394,0.54419,0.39269,0.88956,0.0005941,0.0005941,0.0005941
43,174.221,0.60295,0.42429,0.83813,0.98832,0.99166,0.99453,0.89171,0.53392,0.38495,0.87857,0.0005842,0.0005842,0.0005842
44,178.261,0.65434,0.42773,0.84124,0.98391,0.95551,0.991,0.84735,0.66538,0.50297,0.90673,0.0005743,0.0005743,0.0005743
45,182.246,0.61577,0.42451,0.82827,0.9919,0.95658,0.99124,0.88568,0.52363,0.41356,0.89754,0.0005644,0.0005644,0.0005644
46,186.298,0.69362,0.44985,0.82562,0.98033,0.97318,0.99375,0.86454,0.60427,0.40971,0.87441,0.0005545,0.0005545,0.0005545
47,190.312,0.69451,0.45395,0.82849,0.98402,0.962,0.99255,0.8828,0.53075,0.40919,0.88,0.0005446,0.0005446,0.0005446
48,194.428,0.67521,0.43532,0.82866,0.98785,0.95261,0.99089,0.8409,0.70715,0.45525,0.91246,0.0005347,0.0005347,0.0005347
49,198.393,0.70753,0.45266,0.84389,0.99447,0.96484,0.99063,0.88578,0.54022,0.41345,0.88967,0.0005248,0.0005248,0.0005248
50,202.389,0.74394,0.44603,0.83126,0.98039,0.91406,0.97658,0.82046,0.73755,0.48489,0.9121,0.0005149,0.0005149,0.0005149
51,206.362,0.68007,0.436,0.844,0.99617,0.89453,0.9748,0.85634,0.57008,0.44052,0.87955,0.000505,0.000505,0.000505
52,210.313,0.66583,0.43424,0.83215,0.99105,0.99219,0.99484,0.85681,0.67589,0.40941,0.87763,0.0004951,0.0004951,0.0004951
53,214.272,0.6917,0.44223,0.83049,0.99606,0.98823,0.99477,0.90224,0.51043,0.37719,0.86708,0.0004852,0.0004852,0.0004852
54,218.356,0.64217,0.40907,0.83002,0.99216,0.98873,0.99492,0.8836,0.548,0.37026,0.86871,0.0004753,0.0004753,0.0004753
55,222.389,0.59686,0.40026,0.83471,0.99606,0.98791,0.9947,0.9046,0.49152,0.34735,0.86617,0.0004654,0.0004654,0.0004654
56,226.392,0.62067,0.40706,0.81613,0.99361,0.9375,0.97931,0.85903,0.61444,0.43895,0.90011,0.0004555,0.0004555,0.0004555
57,230.316,0.55999,0.38767,0.82295,0.985,0.94141,0.97565,0.87403,0.4866,0.38228,0.87318,0.0004456,0.0004456,0.0004456
58,234.277,0.56449,0.39381,0.81141,0.991,0.98828,0.99469,0.92883,0.43369,0.34058,0.86342,0.0004357,0.0004357,0.0004357
59,238.242,0.60189,0.40108,0.82062,0.98445,0.98927,0.99477,0.88186,0.54497,0.36775,0.86935,0.0004258,0.0004258,0.0004258
60,242.202,0.57796,0.38852,0.81562,0.99394,0.98828,0.99492,0.9028,0.45447,0.3416,0.86763,0.0004159,0.0004159,0.0004159
61,246.14,0.60998,0.40339,0.8018,0.98745,0.98828,0.99445,0.86117,0.58178,0.37227,0.86776,0.000406,0.000406,0.000406
62,250.131,0.63858,0.41457,0.82584,0.99532,0.99219,0.99496,0.91136,0.46377,0.34116,0.86597,0.0003961,0.0003961,0.0003961
63,254.101,0.5779,0.39558,0.81629,0.99675,0.97266,0.9927,0.88909,0.48044,0.34857,0.86711,0.0003862,0.0003862,0.0003862
64,258.075,0.61051,0.39913,0.81561,0.99604,0.9813,0.99484,0.90515,0.50325,0.36533,0.89359,0.0003763,0.0003763,0.0003763
65,261.994,0.6153,0.40407,0.82349,0.98841,0.99947,0.99496,0.91656,0.42975,0.31749,0.85657,0.0003664,0.0003664,0.0003664
66,265.967,0.56984,0.38222,0.82372,0.9844,0.99609,0.99484,0.88963,0.5264,0.35839,0.88455,0.0003565,0.0003565,0.0003565
67,269.881,0.58626,0.39071,0.81911,0.99544,1,0.995,0.90665,0.43848,0.33022,0.86324,0.0003466,0.0003466,0.0003466
68,273.82,0.57075,0.38882,0.82117,1,0.99561,0.995,0.91463,0.45274,0.34262,0.86839,0.0003367,0.0003367,0.0003367
69,277.747,0.546,0.38716,0.82527,0.99215,0.9878,0.99477,0.90728,0.47785,0.34668,0.85973,0.0003268,0.0003268,0.0003268
70,281.719,0.52277,0.3698,0.81784,1,0.98179,0.99481,0.92967,0.41258,0.3215,0.85607,0.0003169,0.0003169,0.0003169
71,285.785,0.55548,0.37648,0.81425,0.99219,0.99196,0.99488,0.91092,0.45134,0.33111,0.8571,0.000307,0.000307,0.000307
72,289.817,0.55725,0.38319,0.81651,0.99482,0.98828,0.9948,0.91112,0.46188,0.34342,0.85524,0.0002971,0.0002971,0.0002971
73,293.761,0.51245,0.3622,0.80024,0.99222,0.99591,0.99496,0.92817,0.40385,0.30984,0.84687,0.0002872,0.0002872,0.0002872
74,297.723,0.55811,0.37768,0.80497,1,0.99463,0.995,0.93076,0.44945,0.32998,0.845,0.0002773,0.0002773,0.0002773
75,301.685,0.55467,0.36961,0.81089,1,0.99563,0.995,0.93297,0.40214,0.30477,0.84352,0.0002674,0.0002674,0.0002674
76,305.66,0.50975,0.35819,0.80671,0.99841,0.99609,0.995,0.94153,0.37569,0.30055,0.84726,0.0002575,0.0002575,0.0002575
77,309.67,0.51194,0.35524,0.80627,1,0.98702,0.99382,0.91881,0.42975,0.32582,0.85466,0.0002476,0.0002476,0.0002476
78,313.693,0.52661,0.36107,0.81294,0.99972,0.98828,0.99473,0.92028,0.41948,0.31916,0.85591,0.0002377,0.0002377,0.0002377
79,317.68,0.53189,0.35878,0.81166,0.99932,0.99609,0.995,0.92225,0.42426,0.30586,0.85113,0.0002278,0.0002278,0.0002278
80,321.667,0.51949,0.35818,0.81004,1,0.99528,0.995,0.94958,0.34021,0.28543,0.84305,0.0002179,0.0002179,0.0002179
81,325.635,0.51551,0.35544,0.80253,0.99854,1,0.995,0.95678,0.34423,0.29596,0.84436,0.000208,0.000208,0.000208
82,329.622,0.47444,0.3385,0.80898,1,0.99464,0.995,0.94132,0.36536,0.29399,0.84708,0.0001981,0.0001981,0.0001981
83,333.593,0.47386,0.33348,0.802,0.99957,0.99609,0.995,0.93969,0.34789,0.28142,0.83928,0.0001882,0.0001882,0.0001882
84,337.626,0.48692,0.34123,0.80584,0.99989,1,0.995,0.94792,0.34314,0.27636,0.8398,0.0001783,0.0001783,0.0001783
85,341.634,0.47178,0.33334,0.80804,0.99981,1,0.995,0.94799,0.3515,0.2867,0.83647,0.0001684,0.0001684,0.0001684
86,345.626,0.50632,0.34846,0.79893,0.99931,0.99609,0.995,0.91884,0.4319,0.30387,0.84624,0.0001585,0.0001585,0.0001585
87,349.642,0.53406,0.35838,0.80543,0.99939,0.99609,0.995,0.93586,0.40174,0.29461,0.84914,0.0001486,0.0001486,0.0001486
88,353.704,0.49398,0.34145,0.80565,0.99942,0.99609,0.995,0.94245,0.36642,0.27897,0.83941,0.0001387,0.0001387,0.0001387
89,357.73,0.47894,0.33333,0.80798,1,0.99137,0.995,0.94444,0.35559,0.27659,0.84414,0.0001288,0.0001288,0.0001288
90,361.812,0.50594,0.34668,0.81396,1,0.98116,0.99488,0.91611,0.43895,0.30349,0.84746,0.0001189,0.0001189,0.0001189
91,366.718,0.48929,0.33822,0.7979,0.9945,0.99219,0.99496,0.91564,0.42891,0.30339,0.8445,0.000109,0.000109,0.000109
92,370.797,0.46245,0.32417,0.79612,1,0.99964,0.995,0.94052,0.34445,0.27771,0.83645,9.91e-05,9.91e-05,9.91e-05
93,374.784,0.49312,0.33255,0.79074,0.99999,1,0.995,0.93919,0.34649,0.27756,0.83709,8.92e-05,8.92e-05,8.92e-05
94,378.87,0.47183,0.33098,0.79513,0.9994,1,0.995,0.94376,0.34349,0.28107,0.83543,7.93e-05,7.93e-05,7.93e-05
95,382.98,0.47142,0.32473,0.78807,0.99941,0.99609,0.995,0.93865,0.3728,0.27716,0.83316,6.94e-05,6.94e-05,6.94e-05
96,387.123,0.46087,0.31933,0.80399,0.99977,0.99609,0.995,0.93151,0.37738,0.27838,0.8375,5.95e-05,5.95e-05,5.95e-05
